Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Average Hourly Rate,Converted Salary,City,State,Company Age (years),Title Grouping,Seniority Level
Audio Visual Engineer Technical Specialist,97 ,97,97200 ,3.6,Peraton,"Honolulu, HI",10000+ Employees,2017.0,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,97200 ,Honolulu,HI,5.0,engineer,na
Audio Visual Fabrication Engineer,54 ,117,79670 ,4.0,Exeter Government Servi,"Augusta, GA",51 to 200 Employees,2002.0,Government,Information Technology Support Services,Information Technology,$25 to $50 million (USD),0,79670 ,Augusta,GA,20.0,engineer,na
Audio Visual Fabrication Engineer,54 ,117,79670 ,4.0,Exeter Government Servi,"Augusta, GA",51 to 200 Employees,2002.0,Government,Information Technology Support Services,Information Technology,$25 to $50 million (USD),0,79670 ,Augusta,GA,20.0,engineer,na
Audio Visual Project Engineer,64 ,119,87469 ,3.6,DGI Communications,"Billerica, MA",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable,0,87469 ,Billerica,MA,,engineer,na
Audio Visual Fabrication Engineer – Senior,62 ,127,88844 ,4.7,CHOISYS TECHNOLOGY INC,"Fort Gordon, GA",51 to 200 Employees,,Company - Private,,,Less than $1 million (USD),0,88844 ,Fort Gordon,GA,,engineer,senior
UC - Audio Visual/Multimedia Engineer Level 2,38 ,83,55821 ,5.0,IMPYRIAN,"Fort Meade, MD",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,55821 ,Fort Meade,MD,,engineer,na
Onsite Audio Visual Engineer,43 ,90,62229 ,3.7,AVI-SPL,"Redwood City, CA",1001 to 5000 Employees,1979.0,Company - Private,Telecommunications Services,Telecommunications,$500 million to $1 billion (USD),0,62229 ,Redwood City,CA,43.0,engineer,na
Onsite Audio Visual Engineer,43 ,90,62229 ,3.7,AVI-SPL,"Redwood City, CA",1001 to 5000 Employees,1979.0,Company - Private,Telecommunications Services,Telecommunications,$500 million to $1 billion (USD),0,62229 ,Redwood City,CA,43.0,engineer,na
Audio Visual Engineer,43 ,93,67985 ,3.6,Barnes & Thornburg LLP,"Chicago, IL",1001 to 5000 Employees,1940.0,Company - Private,Legal,Legal,$100 to $500 million (USD),0,67985 ,Chicago,IL,82.0,engineer,na
Lead Audio Visual Engineer,74 ,140,101570 ,4.1,SAIC,"Washington, DC",10000+ Employees,1969.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 million (USD),0,101570 ,Washington,DC,53.0,engineer,senior
Audio Visual Technician,58.24,89.44,35.50 ,3.7,NWN Corporation,"New York, NY",1001 to 5000 Employees,1986.0,Company - Private,,,Unknown / Non-Applicable,1,72800,New York,NY,36.0,technician,na
Sr. Audio-Visual Engineer,120 ,120,120000 ,4.2,The Mom Project,"New York, NY",51 to 200 Employees,2016.0,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,0,120000 ,New York,NY,6.0,engineer,senior
AV Systems Engineer,54.08,133.12,45.35 ,4.0,UCLA Health,"Los Angeles, CA",5001 to 10000 Employees,1919.0,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,1,93600,Los Angeles,CA,103.0,engineer,na
Information Technology Help Desk Support - Up to $95k,85 ,95,90000 ,,"Recruiting Resources, Inc.","Pasadena, CA",1 to 50 Employees,,Private Practice / Firm,,,Unknown / Non-Applicable,0,90000 ,Pasadena,CA,,Unbinned,na
AV Field Engineer/Audio/Video Technician/Audio Visual Specialist,35 ,76,51913 ,3.3,Quantum World Technologies Inc.,"Baytown, TX",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable,0,51913 ,Baytown,TX,,engineer,na
AV Technician,37.44,72.8,26.50 ,4.1,Mason Technologies Inc.,New York State,51 to 200 Employees,2002.0,Company - Private,Telecommunications Services,Telecommunications,$25 to $50 million (USD),1,54080,New York State,NY,20.0,technician,na
Audio Visual Technician,62.4,83.2,35.00 ,,Otomashen Inc,"New York, NY",Unknown,,Company - Public,,,Unknown / Non-Applicable,1,72800,New York,NY,,technician,na
AV Engineer,83.2,124.8,50.00 ,4.0,Insight Global,"New York, NY",1001 to 5000 Employees,2001.0,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD),1,104000,New York,NY,21.0,engineer,na
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,80 ,100,90000 ,3.5,State of Washington Legislative Support Services,"Olympia, WA",10000+ Employees,1889.0,Government,State & Regional Agencies,Government & Public Administration,$10+ billion (USD),0,90000 ,Olympia,WA,133.0,engineer,junior
Audio Visual Design Engineer,55 ,104,75934 ,4.0,PEC Solutions LLC,"Plymouth, MN",1001 to 5000 Employees,,Company - Private,,,Unknown / Non-Applicable,0,75934 ,Plymouth,MN,,engineer,na
Professional Audio-Visual Systems Engineer,47 ,82,62446 ,3.4,TRITECH,"Garden City, NY",1 to 50 Employees,,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD),0,62446 ,Garden City,NY,,engineer,na
Audio Visual Engineer,53 ,111,76845 ,3.7,New Era Technology,"New York, NY",501 to 1000 Employees,,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,76845 ,New York,NY,,engineer,na
Audio Visual Engineer,70 ,139,98766 ,4.2,Coupa Software,"San Mateo, CA",1001 to 5000 Employees,2006.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,98766 ,San Mateo,CA,16.0,engineer,na
AV System Engineer,80 ,90,85000 ,2.0,ELB US Inc.,Remote,201 to 500 Employees,1986.0,Company - Private,Computer Hardware Development,Information Technology,$50 to $100 million (USD),0,85000 ,Remote,Remote,36.0,engineer,na
Audio Visual Technician,41.6,104.0,35.00 ,,Corporate Audio Visual Labor,"New Orleans, LA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,1,72800,New Orleans,LA,,technician,na
AV Systems Engineer,67 ,119,89035 ,4.4,New Jersey Institute of Technology,"Newark, NJ",1001 to 5000 Employees,1881.0,College / University,Colleges & Universities,Education,$100 to $500 million (USD),0,89035 ,Newark,NJ,141.0,engineer,na
Systems Engineer- AV,67 ,130,93471 ,4.1,NBCUniversal,"New York, NY",5001 to 10000 Employees,,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$5 to $10 million (USD),0,93471 ,New York,NY,,engineer,na
Information Technology (IT) Support Specialist,36 ,80,54090 ,3.0,Whittle School & Studios,"Washington, DC",51 to 200 Employees,2018.0,School / School District,Primary & Secondary Schools,Education,Unknown / Non-Applicable,0,54090 ,Washington,DC,4.0,Unbinned,na
Audio/Visual Technician,35 ,68,49136 ,3.6,Signet Electronic System Inc,"Norwell, MA",51 to 200 Employees,1974.0,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,0,49136 ,Norwell,MA,48.0,technician,na
"IT Infrastructure Engineer - Washington, D.C.",93 ,197,135336 ,3.6,TikTok,"Washington, DC",1001 to 5000 Employees,2016.0,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,135336 ,Washington,DC,6.0,engineer,na
Audio Visual Field Engineer,44 ,80,59047 ,3.8,IES Communications,"Sterling, VA",51 to 200 Employees,,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable,0,59047 ,Sterling,VA,,engineer,na
Audio Visual Technician,41 ,82,58414 ,4.1,McKinstry,"Seattle, WA",1001 to 5000 Employees,1960.0,Company - Private,Construction,"Construction, Repair & Maintenance Services",$500 million to $1 billion (USD),0,58414 ,Seattle,WA,62.0,technician,na
Audio/Video Journey Technician in IT Customer Support,65 ,65,64752 ,3.8,Central Washington University,"Ellensburg, WA",Unknown,,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,0,64752 ,Ellensburg,WA,,technician,na
Unified Comms/Audio Visual Engineer (AV Engineering),45 ,98,66542 ,3.6,Precision Solutions,"Arnold, MO",1 to 50 Employees,,Company - Private,Consumer Product Manufacturing,Manufacturing,$10 to $25 million (USD),0,66542 ,Arnold,MO,,engineer,na
Entry-Level Engineering Cab (eCab) Systems & Integration Engineers,84 ,176,121623 ,3.8,BOEING,"Seattle, WA",10000+ Employees,1916.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,121623 ,Seattle,WA,106.0,engineer,na
Audio Visual Technician,68.64,87.36,37.50 ,3.7,NWN Carousel,"Brighton, MI",1001 to 5000 Employees,1986.0,Company - Private,,,Unknown / Non-Applicable,1,76960,Brighton,MI,36.0,technician,na
Lead Audio Visual Engineer,74 ,140,101570 ,4.1,SAIC,"Washington, DC",10000+ Employees,1969.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 million (USD),0,101570 ,Washington,DC,53.0,engineer,senior
Sr. Audio-Visual Engineer,120 ,120,120000 ,4.2,The Mom Project,"New York, NY",51 to 200 Employees,2016.0,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,0,120000 ,New York,NY,6.0,engineer,senior
Senior Audio Visual Technician,70.72,99.84,41.00 ,,"Synapse Audio Visual Designs, LLC","Paramus, NJ",,,,,,,1,85280,Paramus,NJ,,technician,senior
AV Technician,70 ,80,75000 ,3.6,CI Software,"Lexington, MA",501 to 1000 Employees,,Franchise,Travel Agencies,Hotels & Travel Accommodation,Unknown / Non-Applicable,0,75000 ,Lexington,MA,,technician,na
AV Systems Engineer,54.08,133.12,45.35 ,4.0,UCLA Health,"Los Angeles, CA",5001 to 10000 Employees,1919.0,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,1,93600,Los Angeles,CA,103.0,engineer,na
Information Technology Help Desk Support - Up to $95k,85 ,95,90000 ,,"Recruiting Resources, Inc.","Pasadena, CA",1 to 50 Employees,,Private Practice / Firm,,,Unknown / Non-Applicable,0,90000 ,Pasadena,CA,,Unbinned,na
AV Field Engineer/Audio/Video Technician/Audio Visual Specialist,35 ,76,51913 ,3.3,Quantum World Technologies Inc.,"Baytown, TX",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable,0,51913 ,Baytown,TX,,engineer,na
AV Technician,37.44,72.8,26.50 ,4.1,Mason Technologies Inc.,New York State,51 to 200 Employees,2002.0,Company - Private,Telecommunications Services,Telecommunications,$25 to $50 million (USD),1,54080,New York State,NY,20.0,technician,na
"Software Engineer C++ on Linux - (Jr, Sr, principal, architect)",85 ,220,152500 ,,HireSparks AV Recruiting,Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable,0,152500 ,Remote,Remote,,engineer,senior
Audio Visual Technician,62.4,83.2,35.00 ,,Otomashen Inc,"New York, NY",Unknown,,Company - Public,,,Unknown / Non-Applicable,1,72800,New York,NY,,technician,na
